activity_id,npdes_id,version_nmbr,perm_feature_id,perm_feature_nmbr,perm_feature_type_code,perm_feature_type_desc,limit_set_id,limit_set_schedule_id,limit_id,limit_season_id,limit_type_code,limit_begin_date,limit_end_date,nmbr_of_submission,parameter_code,parameter_desc,monitoring_location_code,monitoring_location_desc,stay_type_code,stay_type_desc,limit_value_id,limit_value_type_code,limit_value_type_desc,limit_value_nmbr,limit_unit_code,limit_unit_desc,standard_unit_code,standard_unit_desc,limit_value_standard_units,statistical_base_code,statistical_base_short_desc,statistical_base_type_code,statistical_base_type_desc,limit_value_qualifier_code,stay_value_nmbr,dmr_event_id,monitoring_period_end_date,dmr_form_value_id,value_type_code,value_type_desc,dmr_value_id,dmr_value_nmbr,dmr_unit_code,dmr_unit_desc,dmr_value_standard_units,dmr_value_qualifier_code,value_received_date,days_late,nodi_code,nodi_desc,exceedence_pct,npdes_violation_id,violation_code,violation_desc,rnc_detection_code,rnc_detection_desc,rnc_detection_date,rnc_resolution_code,rnc_resolution_desc,rnc_resolution_date,violation_severity,dmr_due_date,dmr_limit_type_code_desc
3601274398,"CA0107409",0,3600237031,"INF","INF","Influent Structure",3600277741,3600387190,3602936883,"0","ENF",10/01/2017,09/30/2022,1,"70295","Solids, total dissolved","G","Raw Sewage Influent","","",3605008140,"C3","Concentration3",,"19","mg/L","19","mg/L",,"DD","DAILY MX","MAX","Maximum","",,3608948333,08/31/2021,3734308381,"C3","Concentration3",3749394831,2160,"19","mg/L",2160,"=",10/01/2021,,"","",,,"","","","",,"","",,"No Violation Identified",10/01/2021,"Enforcement"
3601274398,"CA0107409",0,3600237031,"INF","INF","Influent Structure",3600277741,3600387190,3602936883,"0","ENF",10/01/2017,09/30/2022,1,"70295","Solids, total dissolved","G","Raw Sewage Influent","","",3605008140,"C3","Concentration3",,"19","mg/L","19","mg/L",,"DD","DAILY MX","MAX","Maximum","",,3608948334,09/30/2021,3734308527,"C3","Concentration3",3751214634,1880,"19","mg/L",1880,"=",11/01/2021,,"","",,,"","","","",,"","",,"No Violation Identified",11/01/2021,"Enforcement"
3601274398,"CA0107409",0,3600237031,"INF","INF","Influent Structure",3600277741,3600387190,3602936883,"0","ENF",10/01/2017,09/30/2022,1,"70295","Solids, total dissolved","G","Raw Sewage Influent","","",3605008140,"C3","Concentration3",,"19","mg/L","19","mg/L",,"DD","DAILY MX","MAX","Maximum","",,3608948335,10/31/2021,3734308673,"C3","Concentration3",3753805376,1840,"19","mg/L",1840,"=",12/01/2021,,"","",,,"","","","",,"","",,"No Violation Identified",12/01/2021,"Enforcement"
3601274398,"CA0107409",0,3600237031,"INF","INF","Influent Structure",3600277741,3600387190,3602936883,"0","ENF",10/01/2017,09/30/2022,1,"70295","Solids, total dissolved","G","Raw Sewage Influent","","",3605008140,"C3","Concentration3",,"19","mg/L","19","mg/L",,"DD","DAILY MX","MAX","Maximum","",,3608948336,11/30/2021,3734308819,"C3","Concentration3",3755405433,2050,"19","mg/L",2050,"=",12/30/2021,,"","",,,"","","","",,"","",,"No Violation Identified",01/01/2022,"Enforcement"
3601274398,"CA0107409",0,3600237031,"INF","INF","Influent Structure",3600277741,3600387190,3602936883,"0","ENF",10/01/2017,09/30/2022,1,"70295","Solids, total dissolved","G","Raw Sewage Influent","","",3605008140,"C3","Concentration3",,"19","mg/L","19","mg/L",,"DD","DAILY MX","MAX","Maximum","",,3608948337,12/31/2021,3734308965,"C3","Concentration3",3758299122,1830,"19","mg/L",1830,"=",02/01/2022,,"","",,,"","","","",,"","",,"No Violation Identified",02/01/2022,"Enforcement"
3601274398,"CA0107409",0,3600237031,"INF","INF","Influent Structure",3600277741,3600387190,3602936883,"0","ENF",10/01/2017,09/30/2022,1,"70295","Solids, total dissolved","G","Raw Sewage Influent","","",3605008140,"C3","Concentration3",,"19","mg/L","19","mg/L",,"DD","DAILY MX","MAX","Maximum","",,3608948338,01/31/2022,3734309111,"C3","Concentration3",3760557135,1840,"19","mg/L",1840,"=",03/01/2022,,"","",,,"","","","",,"","",,"No Violation Identified",03/01/2022,"Enforcement"
3601274398,"CA0107409",0,3600237031,"INF","INF","Influent Structure",3600277741,3600387190,3602936883,"0","ENF",10/01/2017,09/30/2022,1,"70295","Solids, total dissolved","G","Raw Sewage Influent","","",3605008140,"C3","Concentration3",,"19","mg/L","19","mg/L",,"DD","DAILY MX","MAX","Maximum","",,3608948339,02/28/2022,3734309257,"C3","Concentration3",3763360634,1950,"19","mg/L",1950,"=",03/31/2022,,"","",,,"","","","",,"","",,"No Violation Identified",04/01/2022,"Enforcement"
3601274398,"CA0107409",0,3600237031,"INF","INF","Influent Structure",3600277741,3600387190,3602936883,"0","ENF",10/01/2017,09/30/2022,1,"70295","Solids, total dissolved","G","Raw Sewage Influent","","",3605008140,"C3","Concentration3",,"19","mg/L","19","mg/L",,"DD","DAILY MX","MAX","Maximum","",,3608948340,03/31/2022,3734309403,"C3","Concentration3",3765005267,1800,"19","mg/L",1800,"=",04/29/2022,,"","",,,"","","","",,"","",,"No Violation Identified",05/01/2022,"Enforcement"
3601274398,"CA0107409",0,3600237031,"INF","INF","Influent Structure",3600277741,3600387190,3602936883,"0","ENF",10/01/2017,09/30/2022,1,"70295","Solids, total dissolved","G","Raw Sewage Influent","","",3605008140,"C3","Concentration3",,"19","mg/L","19","mg/L",,"DD","DAILY MX","MAX","Maximum","",,3608948341,04/30/2022,3734309549,"C3","Concentration3",3768221554,1760,"19","mg/L",1760,"=",06/01/2022,,"","",,,"","","","",,"","",,"No Violation Identified",06/01/2022,"Enforcement"
3601274398,"CA0107409",0,3600237031,"INF","INF","Influent Structure",3600277741,3600387190,3602936883,"0","ENF",10/01/2017,09/30/2022,1,"70295","Solids, total dissolved","G","Raw Sewage Influent","","",3605008140,"C3","Concentration3",,"19","mg/L","19","mg/L",,"DD","DAILY MX","MAX","Maximum","",,3608948342,05/31/2022,3734309695,"C3","Concentration3",3769537012,2040,"19","mg/L",2040,"=",06/30/2022,,"","",,,"","","","",,"","",,"No Violation Identified",07/01/2022,"Enforcement"
